Fonction,Individu,Motif,Lieu,Departement/region,Pays,Dates,Annee 
Premier ministre,Jean-Pierre Raffarin,Meeting de l'UMP,Marly-le-Roi,Yvelines,France,24/05/2005,2005
Premier ministre,Jean-Pierre Raffarin,46ème salon international de l'aéronautique et de l'espace,Le Bourget,Seine-Saint-Denis,France,18/06/2005,2005
Premier ministre,Jean-Pierre Raffarin,nc,Charleville-Mezieres,Ardennes ,France,24/06/2005,2005
Premier ministre,Jean-Pierre Raffarin,nc,Le Havre,Seine-Maritime ,France,01/07/2005,2005
Premier ministre,Jean-Pierre Raffarin,nc,Bruxelles,nc,Belgique,12/07/2005,2005
Premier ministre,Jean-Pierre Raffarin,nc,Lille,Nord ,France,21/07/2005,2005
Premier ministre,Jean-Pierre Raffarin,nc,Londres,nc,Royaume-Uni,25/07/2005,2005
Premier ministre,Jean-Pierre Raffarin,Déplacement privé,Vannes,Morbihan ,France,02/08/2005,2005
Premier ministre,Jean-Pierre Raffarin,nc,Reims,Marne ,France,30/08/2005,2005
Premier ministre,Jean-Pierre Raffarin,Journées de l'UMP,La Baule-Escoublac,Loire-Atlantique ,France,03/09/2005,2005
Premier ministre,Jean-Pierre Raffarin,nc,Beauvais,Oise ,France,08/09/2005,2005
Premier ministre,Jean-Pierre Raffarin,Séminaire franco-espagnol ,Barcelone,nc,Espagne,17/10/2005,2005
Premier ministre,Jean-Pierre Raffarin,nc,Dijon,Cote-d'Or ,France,28/10/2005,2005
